Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,WHH,WHD,WHA,PSCH,PSCD,PSCA
1930-04-17,Tottenham,Arsenal,2,0,H,0,0,D,M Oliver,20,12,11,4,7,15,14,5,1,3,0,0,1.85,3.75,4.0,1.86,3.94,4.15,1.85,4.0,3.75,1.82,4.15,4.37
1930-04-17,Middlesbrough,Man City,2,2,D,1,0,H,K Friend,14,22,6,4,9,9,4,11,4,4,0,0,13.0,5.25,1.25,11.39,5.93,1.29,9.0,5.0,1.33,11.84,6.32,1.28
1930-04-17,Man United,Swansea,1,1,D,1,0,H,N Swarbrick,12,12,6,4,11,13,5,2,2,2,0,0,1.36,4.75,8.0,1.37,5.04,10.06,1.36,4.75,8.5,1.42,4.79,9.45
1930-04-17,Everton,Chelsea,0,3,A,0,0,D,J Moss,12,11,4,5,13,11,2,4,3,4,0,0,3.5,3.6,2.0,3.77,3.67,2.03,3.5,3.5,2.05,4.61,3.75,1.86
1930-09-16,Everton,Crystal Palace,1,1,D,1,0,H,J Moss,13,10,3,2,16,11,10,9,5,4,0,0,1.73,4.0,5.0,1.74,3.95,5.25,1.75,3.8,5.0,1.76,3.88,5.1
1930-10-16,Everton,West Ham,2,0,H,0,0,D,A Taylor,17,13,6,3,15,12,8,8,2,3,0,0,1.8,3.8,4.75,1.81,3.84,4.8,1.83,3.6,4.5,1.88,3.76,4.47
1930-10-16,Southampton,Chelsea,0,2,A,0,1,A,M Jones,9,13,1,7,13,16,7,3,0,0,0,0,3.2,3.4,2.4,3.2,3.37,2.43,3.2,3.2,2.4,3.24,3.39,2.4
1930-12-16,Hull,Everton,2,2,D,1,1,D,J Moss,13,20,4,7,10,13,5,5,2,2,0,0,4.33,3.5,1.95,4.28,3.43,2.02,4.33,3.4,1.95,4.05,3.41,2.08
1931-01-17,Swansea,Southampton,2,1,H,1,0,H,R East,11,10,5,2,10,19,5,4,2,0,0,0,3.4,3.4,2.3,3.29,3.42,2.36,3.4,3.2,2.3,3.25,3.46,2.36
1931-01-17,Middlesbrough,West Brom,1,1,D,1,1,D,S Attwell,11,16,3,5,12,13,4,2,2,1,0,0,2.7,3.1,3.0,2.73,3.05,3.06,2.7,3.0,3.0,2.71,3.01,3.13
1931-01-17,Liverpool,Chelsea,1,1,D,0,1,A,M Clattenburg,7,8,3,2,13,8,3,3,2,1,0,0,2.65,3.25,2.9,2.63,3.33,2.95,2.6,3.2,3.0,2.58,3.2,3.12
1931-01-17,Sunderland,Tottenham,0,0,D,0,0,D,L Mason,3,14,1,3,9,13,2,12,2,1,0,0,9.5,5.25,1.36,9.13,5.41,1.38,9.0,5.0,1.36,8.75,5.71,1.37
1931-01-17,Burnley,Leicester,1,0,H,0,0,D,M Dean,24,13,3,5,4,8,10,2,1,0,0,0,2.9,3.25,2.7,2.89,3.29,2.7,2.88,3.2,2.62,3.0,3.2,2.67
1931-01-17,Bournemouth,Crystal Palace,0,2,A,0,0,D,J Moss,10,11,2,4,14,23,2,3,0,4,0,0,2.05,3.5,3.9,2.12,3.57,3.73,2.1,3.4,3.75,2.18,3.36,3.79
