Season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,WHH,WHD,WHA,PSCH,PSCD,PSCA,GoalDiff_HT,GoalDiff_FT,TotalHomeShots,TotalAwayShots,HomeTeam_ID,AwayTeam_ID
2015,Bournemouth,Aston Villa,0,1,A,0,0,D,M Clattenburg,11,7,2,3,13,13,6,3,3,4,0,0,2.0,3.6,4.0,1.95,3.65,4.27,1.91,3.5,4.0,1.82,3.88,4.7,0,-1,13,10,0,10
2015,Chelsea,Swansea,2,2,D,2,1,H,M Oliver,11,18,3,10,15,16,4,8,1,3,1,0,1.36,5.0,11.0,1.39,4.92,10.39,1.4,4.0,10.0,1.37,5.04,10.88,1,0,14,28,1,13
2015,Everton,Watford,2,2,D,0,1,A,M Jones,10,11,5,5,7,13,8,2,1,2,0,0,1.7,3.9,5.5,1.7,3.95,5.62,1.73,3.5,5.0,1.75,3.76,5.44,-1,0,15,16,2,15
2015,Leicester,Sunderland,4,2,H,3,0,H,L Mason,19,10,8,5,13,17,6,3,2,4,0,0,1.95,3.5,4.33,1.99,3.48,4.34,2.0,3.1,2.7,1.79,3.74,5.1,3,2,27,15,3,12
2015,Man United,Tottenham,1,0,H,1,0,H,J Moss,9,9,1,4,12,12,1,2,2,3,0,0,1.65,4.0,6.0,1.65,4.09,5.9,1.62,3.6,6.0,1.64,4.07,6.04,1,1,10,13,4,14
2015,Norwich,Crystal Palace,1,3,A,0,1,A,S Hooper,17,11,6,7,14,20,1,4,1,0,0,0,2.55,3.3,3.0,2.52,3.35,3.08,2.6,3.1,2.88,2.46,3.39,3.14,-1,-2,23,18,5,17
2015,Arsenal,West Ham,0,2,A,0,1,A,M Atkinson,22,8,6,4,12,9,5,4,1,3,0,0,1.29,6.0,12.0,1.31,5.75,12.0,1.3,5.0,11.0,1.24,6.75,15.0,-1,-2,28,12,6,16
2015,Newcastle,Southampton,2,2,D,1,1,D,C Pawson,9,15,4,5,9,12,6,6,2,4,0,0,2.88,3.3,2.7,2.88,3.33,2.69,2.7,3.1,2.7,3.09,3.28,2.55,0,0,13,20,7,11
2015,Stoke,Liverpool,0,1,A,0,0,D,A Taylor,7,8,1,3,9,16,3,5,2,4,0,0,3.4,3.4,2.3,3.48,3.46,2.25,3.3,3.1,2.3,3.89,3.51,2.09,0,-1,8,11,8,19
2015,West Brom,Man City,0,3,A,0,2,A,M Dean,9,19,2,7,12,9,6,6,4,1,0,0,5.75,4.0,1.67,5.75,3.98,1.68,5.5,3.5,1.7,6.46,4.08,1.61,-2,-3,11,26,9,18
